source_type,records_scanned,records_with_url,exact_url_to_unit_rows,exact_url_to_unit_coverage_pct,url_unit_bridge_rows,url_identifier_only_rows,broker_ref_rows,broker_ref_unit_rows,unit_rows,identifier_rows,crm_like_rows
acquisition_index,6256,0,0,0.00,0,0,0,0,3,22,0
bitrix_crm,81,0,0,0.00,0,0,1,0,0,0,81
canonical_index,2495,0,0,0.00,0,0,0,0,3,11,0
hsh_internal,35,0,0,0.00,0,0,0,0,5,4,0
live_benchmark,50,50,0,0.00,0,0,0,0,0,0,0
other,364,0,0,0.00,0,0,0,0,0,6,0
raw_csv,1049,0,0,0.00,0,0,0,0,1,6,0
raw_pdf,361,0,0,0.00,0,0,3,1,2,2,0
raw_txt,63,0,0,0.00,0,0,4,2,3,2,0
raw_xlsx,205,0,0,0.00,0,0,2,0,37,43,0
resolver_csv,52460,519,0,0.00,0,131,0,0,47631,891,0
resolver_database,26166,221,0,0.00,0,65,0,0,23806,434,0
