path,scope,category,size_bytes,pages_extracted,extraction_status,hits,error,text_preview
AIOS/KnowledgeBase/raw_data/pdf/db4719dbd194__5b36e017-204c-4abb-bb80-df0cb8fd2d4f.pdf,property_intelligence,general_aios,1415377,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/86547805a892__41c5e11e-6137-4287-b298-2d61bf030a4c.pdf,property_intelligence,general_aios,2127949,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/9d869712a49e__86018b12-1617-4ca7-a0e3-6ea8ce1f5090.pdf,property_intelligence,general_aios,1592595,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/bfae9b6d6cf1__68ec9ea5-31d1-4fdd-ac02-a26fe34b2869.pdf,property_intelligence,general_aios,125935,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/69ed4d0d7469__3d92c792-50c7-49be-b4ff-ee71ea89ab1a.pdf,property_intelligence,general_aios,445606,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/29d4dec9b4ae__License Letter _1_.pdf,property_intelligence,general_aios,271128,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/7e44c83e5f2c__a77d53b7-dc7c-410a-8a35-1400c30e71a5.pdf,property_intelligence,general_aios,13361187,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/03a7c93cc542___zabr Hassan Agemment_Addendum_signed.pdf,property_intelligence,general_aios,162,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/cd6ecd8352ed__928db806-a0f4-406a-8f17-654d2429ac2b.pdf,property_intelligence,general_aios,1109826,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/5bf04c635722__a540a5be-7661-40ca-9c05-9ba88f6f7597.pdf,property_intelligence,general_aios,39418,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/40e74203c163__352c2d24-cdcf-44c9-a6b3-4dbc07a8caca.pdf,property_intelligence,general_aios,7884035,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/206bde2b8eb9__64f76526-7317-4c49-a470-95f60260ebbc.pdf,property_intelligence,general_aios,4752991,0,SKIPPED_LOW_PRIORITY,,,
