project,related_file,category,evidence_type,reason
AIOS Foundation,AIOS/00_FOUNDATION/scripts/build_aios_foundation.py,nakheel_design_approval,py,foundation
WhatsApp Human Engine,AIOS/OperatingSystem/04_Templates/T08_WhatsApp_Scripts.md,property_intelligence,md,whatsapp
Property Intelligence,AIOS/OperatingSystem/01_Agents/A12_Unit_Finder_Operator.md,property_intelligence,md,unit
Nakheel PJ-P-VP-018,AIOS/OperatingSystem/01_Agents/A05_Nakheel_NOC_Specialist.md,nakheel_design_approval,md,nakheel
AIOS Runtime,AIOS/OperatingSystem/07_Dashboards/pipeline_tracker.csv,property_intelligence,csv,dashboard
AIOS Runtime,AIOS/OperatingSystem/07_Dashboards/COMMAND_CENTER.md,operating_system,md,dashboard
WhatsApp Human Engine,AIOS/OperatingSystem/02_Workflows/WF11_WhatsApp_Reply.md,whatsapp_human_engine,md,whatsapp
Property Intelligence,AIOS/OperatingSystem/02_Workflows/WF02_Property_Search_Shortlist.md,property_intelligence,md,property
Property Intelligence,AIOS/OperatingSystem/02_Workflows/WF08_Unit_Handover.md,property_intelligence,md,unit
Nakheel PJ-P-VP-018,AIOS/OperatingSystem/02_Workflows/WF04_Nakheel_NOC_Submission.md,nakheel_design_approval,md,nakheel
Property Intelligence,AIOS/OperatingSystem/03_SOPs/SOP07_Unit_Handover_Snagging.md,property_intelligence,md,unit
Property Intelligence,AIOS/OperatingSystem/03_SOPs/SOP05_Property_Finder_Listing.md,property_intelligence,md,property
Nakheel PJ-P-VP-018,AIOS/OperatingSystem/03_SOPs/SOP01_Nakheel_NOC_Modification.md,nakheel_design_approval,md,nakheel
WhatsApp Human Engine,AIOS/transport/simple_whatsapp_gateway.log.jsonl,whatsapp_human_engine,jsonl,"whatsapp, gateway"
AIOS Runtime,AIOS/transport/simple_whatsapp_gateway.log.jsonl,whatsapp_human_engine,jsonl,transport
AIOS Runtime,AIOS/transport/airtable_writeback_validate.py,whatsapp_human_engine,py,transport
AIOS Runtime,AIOS/transport/reality_stress_test.py,whatsapp_human_engine,py,transport
WhatsApp Human Engine,AIOS/transport/whatsapp_relationship_store.json,whatsapp_human_engine,json,"whatsapp, relationship"
AIOS Runtime,AIOS/transport/whatsapp_relationship_store.json,whatsapp_human_engine,json,transport
WhatsApp Human Engine,AIOS/transport/WHATSAPP_LIVE_REPAIR_CURRENT.json,whatsapp_human_engine,json,whatsapp
AIOS Runtime,AIOS/transport/WHATSAPP_LIVE_REPAIR_CURRENT.json,whatsapp_human_engine,json,transport
WhatsApp Human Engine,AIOS/transport/WHATSAPP_TRANSPORT_STATUS.md,whatsapp_human_engine,md,whatsapp
AIOS Runtime,AIOS/transport/WHATSAPP_TRANSPORT_STATUS.md,whatsapp_human_engine,md,transport
WhatsApp Human Engine,AIOS/transport/simple_whatsapp_openai_gateway.py,whatsapp_human_engine,py,"whatsapp, gateway"
AIOS Runtime,AIOS/transport/simple_whatsapp_openai_gateway.py,whatsapp_human_engine,py,transport
WhatsApp Human Engine,AIOS/transport/WHATSAPP_LIVE_PATH_STATUS_2026-06-25.md,whatsapp_human_engine,md,whatsapp
AIOS Runtime,AIOS/transport/WHATSAPP_LIVE_PATH_STATUS_2026-06-25.md,whatsapp_human_engine,md,transport
AIOS Runtime,AIOS/transport/wa_simple_psych_profile_node.py,whatsapp_human_engine,py,transport
AIOS Foundation,AIOS/transport/aios_response_policy_layer.py,whatsapp_human_engine,py,policy
AIOS Runtime,AIOS/transport/aios_response_policy_layer.py,whatsapp_human_engine,py,transport
AIOS Runtime,AIOS/proofs/intelligence_readiness_runtime_validation_20260624T083233Z.json,property_intelligence,json,runtime
WhatsApp Human Engine,AIOS/proofs/WHATSAPP_DELIVERY_FINAL_PROOF_2026-06-24.json,whatsapp_human_engine,json,whatsapp
Property Intelligence,AIOS/proofs/unit_resolver_validation_20260623T115422Z.json,property_intelligence,json,"unit, resolver"
WhatsApp Human Engine,AIOS/proofs/WHATSAPP_DELIVERY_FINAL_PROOF_2026-06-24.md,whatsapp_human_engine,md,whatsapp
Property Intelligence,AIOS/proofs/unit_resolver_validation_20260623T115513Z.json,property_intelligence,json,"unit, resolver"
Property Intelligence,AIOS/proofs/unit_resolver_validation_20260623T061656Z.json,property_intelligence,json,"unit, resolver"
Property Intelligence,AIOS/proofs/unit_resolver_validation_20260623T061637Z.json,property_intelligence,json,"unit, resolver"
AIOS Runtime,AIOS/proofs/.tmp_identity_feedback/transport/human_identity_events.jsonl,property_intelligence,jsonl,transport
AIOS Runtime,AIOS/proofs/premium_glow_review_20260624_phase4/dashboard_shader_tune_validation.json,validation_reporting,json,dashboard
WhatsApp Human Engine,AIOS/proofs/evidence_led_20260623T175859Z/whatsapp_delivery_verification_payload.json,property_intelligence,json,whatsapp
WhatsApp Human Engine,AIOS/proofs/evidence_led_20260623T175859Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,whatsapp
WhatsApp Human Engine,AIOS/proofs/evidence_led_20260623T175717Z/whatsapp_delivery_verification_payload.json,whatsapp_human_engine,json,whatsapp
Property Intelligence,AIOS/proofs/evidence_led_20260623T175717Z/unit_finder_verification_payload.json,property_intelligence,json,unit
WhatsApp Human Engine,AIOS/proofs/evidence_led_20260623T175717Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,whatsapp
Property Intelligence,AIOS/proofs/evidence_led_20260623T175717Z/unit_finder_summary_report.md,property_intelligence,md,unit
WhatsApp Human Engine,AIOS/proofs/evidence_led_20260623T175924Z/whatsapp_delivery_verification_payload.json,property_intelligence,json,whatsapp
Property Intelligence,AIOS/proofs/evidence_led_20260623T175924Z/unit_finder_verification_payload.json,property_intelligence,json,unit
WhatsApp Human Engine,AIOS/proofs/evidence_led_20260623T175924Z/whatsapp_delivery_summary_report.md,whatsapp_human_engine,md,whatsapp
Property Intelligence,AIOS/proofs/evidence_led_20260623T175924Z/unit_finder_summary_report.md,property_intelligence,md,unit
Property Intelligence,AIOS/proofs/evidence_led_20260623T175512Z/unit_finder_verification_payload.json,property_intelligence,json,unit
Property Intelligence,AIOS/proofs/evidence_led_20260623T175512Z/unit_finder_summary_report.md,property_intelligence,md,unit
AIOS Runtime,AIOS/proofs/.tmp_identity_feedback_runtime/transport/human_identity_events.jsonl,property_intelligence,jsonl,"runtime, transport"
AIOS Runtime,AIOS/proofs/runtime_status_truth_20260624/runtime_status_truth_payload.json,whatsapp_human_engine,json,runtime
WhatsApp Human Engine,AIOS/.tmp_work/transport/simple_whatsapp_gateway.log.jsonl,whatsapp_human_engine,jsonl,"whatsapp, gateway"
AIOS Runtime,AIOS/.tmp_work/transport/simple_whatsapp_gateway.log.jsonl,whatsapp_human_engine,jsonl,transport
WhatsApp Human Engine,AIOS/.tmp_work/transport/whatsapp_relationship_store.json,whatsapp_human_engine,json,"whatsapp, relationship"
AIOS Runtime,AIOS/.tmp_work/transport/whatsapp_relationship_store.json,whatsapp_human_engine,json,transport
AIOS Runtime,AIOS/.tmp_work/transport/aios_runtime_state.sqlite,general_aios,sqlite,"runtime, transport"
WhatsApp Human Engine,AIOS/PersonalityEngine/LEAD_DIGITAL_OPERATIONS_CONCIERGE_PERSONA.md,general_aios,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/OLD_CHAT_CONTEXT_REGRESSION.py,nakheel_design_approval,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/MARKUS_CONVERSATION_REGRESSION.py,whatsapp_human_engine,py,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/WHATSAPP_EDGE_CASE_REPORT.py,whatsapp_human_engine,py,"whatsapp, personality"
WhatsApp Human Engine,AIOS/PersonalityEngine/HUMAN_JUDGMENT_ENGINE_V1_REPORT.md,property_intelligence,md,personality
WhatsApp Human Engine,AIOS/PersonalityEngine/omar_style_dataset_sample.csv,general_aios,csv,personality
