Domain,Subdomain,Source Type,Official URL / Local Path,Downloaded,HTML File,Text File,Pages Extracted,Knowledge Status
DLD,Property Sale Registration,official,https://dubailand.gov.ae/en/eservices/property-sale-registration/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Property_Sale_Registration.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Property_Sale_Registration.txt,1,downloaded
DLD,Sale of Mortgaged Property,official,https://dubailand.gov.ae/en/eservices/registering-the-sale-of-a-mortgaged-property/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Sale_of_Mortgaged_Property.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Sale_of_Mortgaged_Property.txt,1,downloaded
DLD,Mortgage Registration,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-registration/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Mortgage_Registration.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Mortgage_Registration.txt,1,downloaded
DLD,Mortgage Release,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-termination/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Mortgage_Release.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Mortgage_Release.txt,1,downloaded
DLD,Project Registration / Oqood,official,https://dubailand.gov.ae/en/eservices/register-project/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Project_Registration_Oqood.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Project_Registration_Oqood.txt,1,downloaded
DLD,Initial Sale Registration / Oqood,official,https://dubailand.gov.ae/en/eservices/request-to-register-the-initial-sale/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Initial_Sale_Registration_Oqood.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Initial_Sale_Registration_Oqood.txt,1,downloaded
DLD,Amend Initial Procedures Data,official,https://dubailand.gov.ae/en/eservices/request-to-amend-the-initial-procedures-data/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Amend_Initial_Procedures_Data.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Amend_Initial_Procedures_Data.txt,1,downloaded
DLD,Complete Initial Procedures Data,official,https://dubailand.gov.ae/en/eservices/request-to-complete-the-initial-procedures-data/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Complete_Initial_Procedures_Data.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Complete_Initial_Procedures_Data.txt,1,downloaded
DLD,Transfer Registration Fees Between Properties,official,https://dubailand.gov.ae/en/eservices/request-for-transferring-registration-fees-from-one-property-to-another/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Transfer_Registration_Fees_Between_Properties.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Transfer_Registration_Fees_Between_Properties.txt,1,downloaded
DLD,Dubai REST,official,https://dubailand.gov.ae/en/eservices/dubai-rest/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Dubai_REST.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Dubai_REST.txt,1,downloaded
DLD,RVS Complaint Overview,official,https://dubailand.gov.ae/en/eservices/rvs-violation-complaint-overview/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__RVS_Complaint_Overview.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__RVS_Complaint_Overview.txt,1,downloaded
DLD,RVS Complaint Tracking,official,https://dubailand.gov.ae/en/eservices/rvs-case-tracking/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__RVS_Complaint_Tracking.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__RVS_Complaint_Tracking.txt,1,downloaded
