source_platform,listing_url,listing_id,broker_reference,permit_number,property_number,plot_number,building,unit,cpid,source,freshness,confidence,verified_by,bridge_status,missing_bridge_fields
bayut.com,,9102886,10306-TIuehO,000920402,,,Indigo Beach Residence,,CPID-PERMIT-000920402,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9096573,10306-jbQsxd,000920402,,,Woroud,,CPID-PERMIT-000920402,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8699523,10306-2RHJKd,000920402,,,Sendian Villas,,CPID-PERMIT-000920402,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8327357,10306-TW2kBd,0041291120,,,Sobha Seahaven Tower A,,CPID-PERMIT-0041291120,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9256131,10306-p8MapT,0076581318,,,Address Residences Zabeel,,CPID-PERMIT-0076581318,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475586,10306-Q0hje1,0391974290,,,Sobha Seahaven Tower B,,CPID-PERMIT-0391974290,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475531,10306-2wt5Sr,0391974290,,,Sobha Seahaven Tower B,,CPID-PERMIT-0391974290,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475844,10306-bcr4Sq,0391974290,,,Sobha Seahaven Tower C,,CPID-PERMIT-0391974290,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475900,10306-sxObIE,0391974290,,,Sobha Seahaven Tower C,,CPID-PERMIT-0391974290,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475614,10306-aWVMuh,0391974290,,,Sobha Seahaven Tower B,,CPID-PERMIT-0391974290,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8998340,10306-S7unWe,0620519964,,,Sobha One,A3401,CPID-PERMIT-0620519964,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8939683,10306-U9pDu0,1073271018,,,Red Square,,CPID-PERMIT-1073271018,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8940113,10306-aYnVjz,1073271018,,,Red Square,,CPID-PERMIT-1073271018,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8941031,10306-u0kTcP,1073271018,,,Red Square,,CPID-PERMIT-1073271018,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8998823,10306-3CgQk1,1182577585,,,360 Riverside Crescent,2505,CPID-PERMIT-1182577585,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8422510,10306-GBgnUi,1380006101,,,Savanna,,CPID-PERMIT-1380006101,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475380,10306-0qLlFm,2029365454,,,Oxford Terraces,,CPID-PERMIT-2029365454,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8503335,10306-aGYljn,2029365454,,,Oxford Terraces 2,,CPID-PERMIT-2029365454,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9062710,10306-vVY7OZ,277566,,,Sendian Villas,,CPID-PERMIT-277566,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9190466,10306-EqAI8v,6944040455,,,Elie Saab Vie at the Fields,C129-7,CPID-PERMIT-6944040455,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9191721,10306-lbTlTD,71102202065,,,Cote D' Azur Resort,3109,CPID-PERMIT-71102202065,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9135809,10306-UXNRQd,71151306821,,,Urban Oasis by Missoni,212,CPID-PERMIT-71151306821,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9279567,10306-EAFt8x,7117451386,,,New Dubai Gate 2,,CPID-PERMIT-7117451386,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9279410,10306-QMrXhQ,7117617280,,,Al Fahad Tower 2,505,CPID-PERMIT-7117617280,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9279479,10306-bLgiPW,7117617324,,,Al Fahad Tower 2,502,CPID-PERMIT-7117617324,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9235367,10306-KXC2LE,7117777734,,,Marina Suites,,CPID-PERMIT-7117777734,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9256664,10306-Bw3QJK,7118442800,,,Manchester Tower,209,CPID-PERMIT-7118442800,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9191480,10306-LWlpJD,71198876015,,,Golf Views Seven City,,CPID-PERMIT-71198876015,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9190848,10306-KnPwg2,71198973538,,,Golf Views Seven City,,CPID-PERMIT-71198973538,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9228307,10306-DiCtLy,71198998198,,,Golf Views Seven City,,CPID-PERMIT-71198998198,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9151026,10306-KoCg37,71209125309,,,Residences 12,1204,CPID-PERMIT-71209125309,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8742662,10306-7pRZGh,71280244554,,,Residences 13,,CPID-PERMIT-71280244554,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8673808,10306-TkPQPg,71293278514,,,Alexis Tower,1420,CPID-PERMIT-71293278514,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475466,10306-nALlrn,71408864260,,,Torino by ORO24 Building 3,106,CPID-PERMIT-71408864260,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9118042,10306-egExAe,71417254292,,,Uniestate Supreme Residence,209,CPID-PERMIT-71417254292,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8904385,10306-NQOosM,71435856240,,,Ellington Beach House,,CPID-PERMIT-71435856240,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8475007,10306-EfrC2u,71445384047,,,Miami 2 by Samana,,CPID-PERMIT-71445384047,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8892882,10306-iZ8fh0,71449862005,,,The Cove II Building 4,,CPID-PERMIT-71449862005,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9097314,10306-FRexob,71471394343,,,Binghatti Crescent,410,CPID-PERMIT-71471394343,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9091776,10306-zjBBFY,71504120677,,,Canal Crown Tower 1,2006,CPID-PERMIT-71504120677,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,9246366,10306-BjrCLY,71505261816,,,Samana Skyros,409,CPID-PERMIT-71505261816,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
bayut.com,,8865681,10306-IoBiCI,71517916631,,,Binghatti Amber,837,CPID-PERMIT-71517916631,Listings (1).xlsx,2026-06-27,100,bridge_import,exact_bridge,
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-abu-dhabi-al-reem-island-city-of-lights-horizon-tower-b-16205860.html,16205860,,,,,,,CPID-HASH-17c36e94d5c3957e,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-abu-dhabi-al-reem-island-shams-abu-dhabi-beach-towers-15667319.html,15667319,,,,,,,CPID-HASH-a4c9838d23563c45,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-samana-ocean-pearl-ocean-pearl-1-dubai-islands-building-1-65164864.html,65164864,,,,,,,CPID-HASH-668fd794f09d5abf,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/land-for-sale-dubai-al-wasl-al-wasl-road-16109976.html,16109976,,,,,,,CPID-HASH-b5f9248594bbc0b7,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/land-for-sale-dubai-dubai-land-majan-15830889.html,15830889,,,,,,,CPID-HASH-be348f9426a7a098,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/land-for-sale-dubai-emirates-hills-15969343.html,15969343,,,,,,,CPID-HASH-3f3ef0432784a908,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-land-damac-sun-city-15792090.html,15792090,,,,,,,CPID-HASH-c5db21bb7d8953dd,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-dubai-land-rukan-rukan-3-2P7EaWGZ54C.html,,,,,,,,CPID-HASH-50dc89df265d5eb5,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-dubai-islands-bay-villas-100429408.html,100429408,,,,,,,CPID-HASH-4036d0c49a787255,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-jumeirah-la-mer-la-mer-south-island-77800826.html,77800826,,,,77800826,,,CPID-PLOT-77800826,WhatsApp ChatStorage.sqlite,2026-06-27,100,system_derived,exact_bridge,
propertyfinder.ae,https://www.propertyfinder.ae/en/plp/commercial-buy/land-for-sale-dubai-al-furjan-15818532.html,15818532,,,,,,,CPID-HASH-65b4d89be6462b3b,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
propertyfinder.ae,,99856,,,,,,,CPID-HASH-8e796184d082d2f6,WhatsApp ChatStorage.sqlite,2026-06-27,80,system_derived,partial_bridge,hard_property_identifier
,,,,,,,,1317,CPID-UNIT-1317,HSHObject1__ab20a7e9-9ee0-4f16-910a-3e6399317a74__dda2658d56.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,1310,CPID-UNIT-1310,HSHObject1__959b678a-988e-408b-a57d-babfe21eb212__95811baa6f.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,K1TH073,CPID-UNIT-k1th073,Reportage_Inventory__DIVA (HANDING OVER Q4 2024)__63a16b8deb.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,D40,CPID-UNIT-d40,Reportage_Inventory__99c58ae4-60ae-474d-a525-c21e51b57e4c__b17701f8c6.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,S4522,CPID-UNIT-s4522,Reportage_Inventory__Monte Napoleone MNGT Units__f40c97c1dc.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__ac9a52ed89.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,904NEW903,CPID-UNIT-904new903,796ebc88-9ecb-4559-87a1-e237fd01229f.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,K1TH212,CPID-UNIT-k1th212,Reportage_Inventory__DIVA (HANDING OVER Q4 2024)__071a5a6811.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,UNIT,CPID-UNIT-unit,Reportage_Inventory__Reportage Oceana__2e842da7d0.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__ac9a52ed89.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,S4522,CPID-UNIT-s4522,Reportage_Inventory__Monte Napoleone MNGT Units__72c00ef10b.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__DUBAI HILLS AVAILABILITY__902f581911.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,1317,CPID-UNIT-1317,HSHObject1__c75a4a95-8a72-4b3a-bcea-32c7aac38024__b5bf281258.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,K1TH073,CPID-UNIT-k1th073,Reportage_Inventory__9e8cbfbd-4be2-43fa-8d80-c75925f2e7aa__4fa2fc5adc.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__ccd1445561.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__39097fe6b2.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__DUBAI HILLS AVAILABILITY__90b740e669.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,S4522,CPID-UNIT-s4522,Reportage_Inventory__Monte Napoleone MNGT Units__7850b32b27.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,S4522,CPID-UNIT-s4522,Reportage_Inventory__bffd36ca-3cf8-4eba-82c3-ff850628f3c4__c8a5536e02.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__6ea2d12d01.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__69038f24c0.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,UNIT,CPID-UNIT-unit,Reportage_Inventory__Reportage Oceana__ac20f4467c.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__DUBAI HILLS AVAILABILITY__042e594ad2.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
