queue_type,cpid,resolver_record_id,reason,severity,recommended_action,source_file
quarantine_review,CPID-UNIT-cdb0134984698a6d,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__0771e967-82c4-4910-bb30-d0f17d5a7ecc__d773272a73.xlsx
quarantine_review,CPID-UNIT-91bd976b074f08a8,,generic_building_name,medium,validate polluted or noisy source row before reuse,Data_Uae_Pak_Last__Property`s Type__39eae9c864.xlsx
cpid_review,CPID-LAND-77800826,,public_listing_without_hard_identifier,high,collect broker reference or property/permit/plot/unit bridge,WhatsApp ChatStorage.sqlite
quarantine_review,CPID-LAND-77800826,,non_listing_public_url | polluted_property_number | polluted_property_number;non_listing_public_url,medium,validate polluted or noisy source row before reuse,WhatsApp ChatStorage.sqlite
cpid_review,CPID-HASH-145b74c162883715,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__3014__ac9a52ed89.xlsx
quarantine_review,CPID-HASH-145b74c162883715,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__3014__ac9a52ed89.xlsx
cpid_review,CPID-HASH-42cb6231a76983a2,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__3014__39097fe6b2.xlsx
quarantine_review,CPID-HASH-42cb6231a76983a2,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__3014__39097fe6b2.xlsx
cpid_review,CPID-HASH-50f33a7652741d77,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__3014__69038f24c0.xlsx
quarantine_review,CPID-HASH-50f33a7652741d77,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__3014__69038f24c0.xlsx
cpid_review,CPID-HASH-5e5cadff258bfbae,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__3014__6ea2d12d01.xlsx
quarantine_review,CPID-HASH-5e5cadff258bfbae,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__3014__6ea2d12d01.xlsx
cpid_review,CPID-HASH-62c5896d63bac13c,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__3014__ccd1445561.xlsx
quarantine_review,CPID-HASH-62c5896d63bac13c,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__3014__ccd1445561.xlsx
cpid_review,CPID-HASH-d99bf1e0a276ce04,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__3014__abd925a1c4.xlsx
quarantine_review,CPID-HASH-d99bf1e0a276ce04,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__3014__abd925a1c4.xlsx
cpid_review,CPID-HASH-aa80e32e5df82496,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,0a61877f-b2fb-451b-91ff-81bb026cd696.xlsx
cpid_review,CPID-HASH-c4696bc33af4ff0e,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__73fd58f1-9853-4763-b3d6-5b415324a9b9__e3b118dc75.xlsx
quarantine_review,CPID-HASH-c4696bc33af4ff0e,,no_resolver_signal,medium,validate polluted or noisy source row before reuse,Reportage_Inventory__73fd58f1-9853-4763-b3d6-5b415324a9b9__e3b118dc75.xlsx
cpid_review,CPID-HASH-cbef39b54c75bac1,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__2556cb9f-0ebc-435f-b39e-31d3b5caa0ab__7f6e6a6f90.xlsx
cpid_review,CPID-HASH-e352a045df73ae37,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__796fbdde-e69f-4e78-86a9-2fd67eb95fe9__e498504c3f.xlsx
cpid_review,CPID-HASH-03a46c0915da67ea,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__ab20a7e9-9ee0-4f16-910a-3e6399317a74__dda2658d56.xlsx
cpid_review,CPID-HASH-35b1a7e2b4653cfe,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__c75a4a95-8a72-4b3a-bcea-32c7aac38024__b5bf281258.xlsx
cpid_review,CPID-HASH-04d241afe704c0ee,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__959b678a-988e-408b-a57d-babfe21eb212__95811baa6f.xlsx
cpid_review,CPID-HASH-66b9c55a31c5cb7d,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__45fcbb03-9f46-4197-8505-b9f33fd29510__77f9127278.xlsx
cpid_review,CPID-HASH-700d4340937a195d,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__560cff45-bedb-4011-8704-774f0fa8b694__44fa2f752a.xlsx
cpid_review,CPID-HASH-bd8f077574e7ae3e,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,HSHObject1__ac274d9d-4683-43a4-b87f-76dc917c79d1__e2699bf54d.xlsx
cpid_review,CPID-HASH-0f1f1d77abe198a6,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__99c58ae4-60ae-474d-a525-c21e51b57e4c__b17701f8c6.xlsx
cpid_review,CPID-HASH-6079daa17b56d6ff,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__Sylvana Availability__cdd11f415b.xlsx
cpid_review,CPID-HASH-63e21f538d6c76a3,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__Sylvana Availability__4748b80daa.xlsx
cpid_review,CPID-HASH-641a18ef96f5c33a,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__Sylvana Availability__cfc92026de.xlsx
cpid_review,CPID-HASH-e750c7ec8699c040,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__Sylvana Availability__7d1436514b.xlsx
cpid_review,CPID-HASH-ebcb3aab42a8ea4d,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,Reportage_Inventory__Sylvana Availability__b5bc12621c.xlsx
cpid_review,CPID-HASH-6ef19f2265bbeeb1,,missing_bridge_or_structural_confirmation,medium,collect broker reference or property/permit/plot/unit bridge,TIGER_-_HOME_SWEET_HOME_REAL_ESTATE__Handover: Q2 2029__f378ebf74c.xlsx
