area,building,unit,bedrooms,price,size,developer,source,source_date
Ramhan Island,Ramhan Island R-Waters-V,V-2,7,29195272,7539,Ramhan Development,Scorpion Inventory,2026-07-08
Tilal Al Ghaf,TAG - AL2,071,5,15000000,9884,Majid Al Futtaim,Scorpion Inventory,2026-07-08
Beach Front,EB Grand Bleu Tower T2,1602,1,3500000,887,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint  T1,3301,2,8100712,1360,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3302,1,3862192,748,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3303,2,6640372,1382,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3304,1,4266892,736,Emar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3305,1,4266892,736,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3306,2,7469152,1382,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3307,1,3822292,741,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3308,3,11092072,1787,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T1,3309,2,7743892,1167,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T2,3603,2,6806812,1471,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T2,3604,2,5561932,1107,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T2,3605,2,5753452,1142,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Seapoint T2,3606,3,10747792,1829,Emaar,Scorpion Inventory,2026-07-08
Beach Front,Damac Bay 2,2601,3,8536000,1777,Damac,Scorpion Inventory,2026-07-08
Beach Front,Damac Bay 2,2602,2,5481300,1148,Damac,Scorpion Inventory,2026-07-08
Beach Front,Damac Bay 2,2603,2,5622100,1117,Damac,Scorpion Inventory,2026-07-08
Beach Front,Damac Bay 2,2604,2,5913600,1238,Damac,Scorpion Inventory,2026-07-08
Beach Front,Damac Bay 2,2605,2,7097200,1469,Damac,Scorpion Inventory,2026-07-08
Beach Front,EB Address The Bay,4506,2,5328244,1422,Emaar,Scorpion Inventory,2026-07-08
Beach Front,EB Beachmansion T1,2401,4,9119865,2660,Emaar,Scorpion Inventory,2026-07-08
Bluewaters,Bluewaters Island 9,1004,3,12000000,2049,Meraas,Scorpion Inventory,2026-07-08
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-02,3,2795000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-04,3,2795000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-06,3,2795000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-10,3,2795000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-11,3,2795000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-12,3,2795000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-01-13,3,2795000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-03,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-04,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-05,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-06,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-07,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-08,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-09,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-10,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-11,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-12,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-13,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-02-14,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-03-04,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-03-05,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-03-12,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-03-13,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-03-14,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-03-15,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-02,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-03,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-04,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-05,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-06,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-08,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-09,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-10,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-11,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-12,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-13,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-14,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-04-15,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-02,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-03,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-04,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-05,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-07,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-08,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-09,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-10,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-11,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-12,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-05-13,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-03,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-04,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-05,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-06,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-07,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-09,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-10,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-11,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-08-12,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-09-03,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-09-04,3,2720000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-09-07,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-09-08,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
