bridge_id,source_file,source_sheet,listing_url,listing_id,broker_reference,permit_number,property_number,plot_number,building_name,unit_number,community,project_name,resolver_record_id,bridge_classification,quality_class,quality_score,quality_reason
38299d5a76033478495812f4,Palm_Jumeirah_Nakheel_Submission_Package_RevB_fixed.pdf,,,,,27459,,6757,,,Palm Jumeirah,,b1badf3f5a7ce994,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
52209a94f54e64cfc709babe,Contract F - Plot 18- Palm Crown - New (1).pdf,,,,,51392,,,,,Palm Jumeirah,,bfa7b5be0ca77b09,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
15825a4b0de303ac2c81fe6f,Contract F - Plot 18- Palm Crown - New (1).pdf,,,,,27459,,,,,Palm Jumeirah,,d93deae982f7793c,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
1bb802f84a72a99dff313340,Contract F - Plot 18- Palm Crown - New (1).pdf,,,,,27459,,,,,Palm Jumeirah,,8e7ab00c4974d1bb,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
f5ff3852b37c39abd09a23c8,Tiger Sky Tower-3902TigerContract document.pdf,,,,,,,581,,,,,e80dd63b3f83af52,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
2547cb2b304fd7ed6ecdfd21,cpalmd (1).pdf,,,,,27459,,6757,,,Palm Jumeirah,,145ce6abb6bc2908,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
fca6a036395984d3588c0c26,Palm_Jumeirah_Nakheel_updated.pdf,,,,,27459,,6757,,,Palm Jumeirah,,66d5c217ddafe191,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
6c253382e0f99b3256a0e8a3,Plot-18_PJ-P-VP-018_REV-01_FINAL_Nakheel_Submission.pdf,,,,,27459,PJ P VP 018,PJ P VP 018,,,MBR City,,61cd5aed78182158,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
e5721189a44d42d222b6db79,Plot-18_PJ-P-VP-018_REV-01_FINAL_Nakheel_Submission.pdf,,,,,27459,PJ P VP 018,PJ P VP 018,,,MBR City,,204a734118526f47,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
1892de611e127b38504ca32f,Palm_Jumeirah_Nakheel_Submission_Package_RevB_final.pdf,,,,,27459,,6757,,,Palm Jumeirah,,d9b6a00edf880068,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
29dc692c7ebae6a6e55eebc2,extracted_text.txt,,,,,27459,PJ P VP 018,PJ P VP 018,,,MBR City,,c97817e31802c0cc,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
0283dc5914ac1c8e0f0284ef,extracted_text.txt,,,,,27459,PJ P VP 018,PJ P VP 018,,,MBR City,,bfd7bc7fe8554929,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
494f3ea4c64e5758d89bd260,rev01_text.txt,,,,,27459,PJ P VP 018,PJ P VP 018,,,MBR City,,3c8b555a5e948a50,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
4b1acac31a5b83b459419519,rev01_text.txt,,,,,27459,PJ P VP 018,PJ P VP 018,,,MBR City,,efb3074ea7de7826,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
8d09aeb50d5986eef7146bb7,KnowledgeBase_Master_Catalog.csv,,,,,,,,,51L,JVC,,3ef1ba2533addb5b,invalid_bridge,Weak,25,single clue family without trusted bridge completion
906bd0eaa23cd592403adacf,Data_Uae_Pak_Last__Property`s Type__4dd7ad70cb.xlsx,,,,,,,,,,,,dcb70bf6d8599bee,invalid_bridge,Unusable,0,no meaningful bridge relationship
efc31bfbb8f6c62d99b87eb1,Data_Uae_Pak_Last__Area sqft__0256c24bc1.xlsx,,,,,,,157,,,,,979f8522b6841287,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
2139e4725d2d42f929127e75,Reportage_Inventory__3014__69038f24c0.xlsx,,,,,,,,,51L,JVC,,b37875c17a154938,invalid_bridge,Weak,25,single clue family without trusted bridge completion
a0e13c23037461f471babd0e,Reportage_Inventory__3014__ac9a52ed89.xlsx,,,,,,,,,51L,JVC,,54c32daef7826f1e,invalid_bridge,Weak,25,single clue family without trusted bridge completion
4b8ee3c5c4d5e0dfdc71bb5a,Reportage_Inventory__3014__39097fe6b2.xlsx,,,,,,,,,51L,JVC,,98656622f84e34e9,invalid_bridge,Weak,25,single clue family without trusted bridge completion
8e5fc16c7b05436e4dc7f831,Reportage_Inventory__3014__abd925a1c4.xlsx,,,,,,,,,51L,JVC,,b380009550e38ed5,invalid_bridge,Weak,25,single clue family without trusted bridge completion
3e209f943b11c14c7ca80236,Reportage_Inventory__3014__6ea2d12d01.xlsx,,,,,,,,,51L,JVC,,ceed838476e28aa7,invalid_bridge,Weak,25,single clue family without trusted bridge completion
64c2ce53c1d37e1492bb796a,Reportage_Inventory__3014__ccd1445561.xlsx,,,,,,,,,51L,JVC,,18c8b4c7748b748d,invalid_bridge,Weak,25,single clue family without trusted bridge completion
ca2c5c88916e6f7072a552e3,Nakheel_Approval_QA_Report.pdf,,,,,27459,PJ P VP 018,PJ P VP 018,,,Palm Jumeirah,,7abc7d28b5e0bfca,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
f034799d462cf5e0c98cbd1f,brand-assets-files.txt,,,,,,,,,,,,17c6152409412e9c,invalid_bridge,Unusable,0,no meaningful bridge relationship
f639e95d6f439ae73767ba4f,6f1e3efe-637f-455e-9cc5-0d642d2242f3.xlsx,,,,,,,,,,Palm Jumeirah,,3dde5185e114ff49,invalid_bridge,Weak,25,single clue family without trusted bridge completion
b8524ee2ec2e9de063beb00f,Data_Uae_Pak_Last__Property`s Type__39eae9c864.xlsx,Sheet1,,,,,,,t 5428 mohammed mohammed abu issa apartment 908 beach tower,908,B.T 5428 Mohammed Mohammed Abu Issa Apartment 908 Beach Tower 3 217.92 m2 506147868,Beach Tower,0274e6abab0d15f9,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
93bdda34e9f9d82685994199,Data_Uae_Pak_Last__TOWER__b865183a64.xlsx,Sheet1,,,,,,,B,G03,B G03 VINISH MEHRA 919811110230,,02908f97bf3c1ba7,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
7fe911f56999dc542fd046e2,Reportage_Inventory__Monte Napoleone MNGT Units__274dd0842b.xlsx,THE SPINE,,,,,,,,S4522,266 S4 522 S4 5 6 R 22 110 Duplex 2 BR Spine 115.68 53.831599999999995 169.5116 11707500 757766.9902912622 206481.481481,,7268c6edf2245875,invalid_bridge,Weak,25,single clue family without trusted bridge completion
4ad76677b8dc209fa88112b3,Reportage_Inventory__Monte Napoleone MNGT Units__72c00ef10b.xlsx,THE SPINE,,,,,,,,S4522,266 S4 522 S4 5 6 R 22 110 Duplex 2 BR Spine 115.68 53.831599999999995 169.5116 11707500 757766.9902912622 206481.481481,,bb1d27862d588a7a,invalid_bridge,Weak,25,single clue family without trusted bridge completion
e45d43a259a88cc8df09202b,Reportage_Inventory__Monte Napoleone MNGT Units__7850b32b27.xlsx,THE SPINE,,,,,,,,S4522,266 S4 522 S4 5 6 R 22 110 Duplex 2 BR Spine 115.68 53.831599999999995 169.5116 11707500 757766.9902912622 206481.481481,,8ced739ccf16a26f,invalid_bridge,Weak,25,single clue family without trusted bridge completion
d185cd18a5f2331d52ae4c1a,Reportage_Inventory__Monte Napoleone MNGT Units__d46f8387c9.xlsx,THE SPINE,,,,,,,,S4522,266 S4 522 S4 5 6 R 22 110 Duplex 2 BR Spine 115.68 53.831599999999995 169.5116 11707500 757766.9902912622 206481.481481,,b492528e37038ebc,invalid_bridge,Weak,25,single clue family without trusted bridge completion
a725ac5e5d4f49256d80f538,Reportage_Inventory__Monte Napoleone MNGT Units__f40c97c1dc.xlsx,THE SPINE,,,,,,,,S4522,266 S4 522 S4 5 6 R 22 110 Duplex 2 BR Spine 115.68 53.831599999999995 169.5116 11707500 757766.9902912622 206481.481481,,d1e602f0b300a84d,invalid_bridge,Weak,25,single clue family without trusted bridge completion
5e47dcbb76dcfae8f31005f1,"Reportage_Inventory__REPORTAGE RESIDENCES (Lahore, Pakistan)__14752b3dd3.xlsx",Inventory,,,,,,,60 1206 12 1 bed a adjacent building,1206,60 1206 12 1 Bed A Adjacent Building 46.77300978269958 6.752199481600536 11.89160062802516 65.41680989232528 503.46 72.6,,ec93b528c30bb792,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
5569432fd9e5d265a9248fdf,"Reportage_Inventory__REPORTAGE RESIDENCES (Lahore, Pakistan)__253edbf7f5.xlsx",Inventory,,,,,,,57 1206 12 1 bed a adjacent building,1206,57 1206 12 1 Bed A Adjacent Building 46.77300978269958 6.752199481600536 11.89160062802516 65.41680989232528 503.46 72.6,,6ee74e99c60b3f35,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
69fa91c0adf6d0eb4b201bc3,"Reportage_Inventory__REPORTAGE RESIDENCES (Lahore, Pakistan)__42b186a499.xlsx",Inventory,,,,,,,59 1206 12 1 bed a adjacent building,1206,59 1206 12 1 Bed A Adjacent Building 46.77300978269958 6.752199481600536 11.89160062802516 65.41680989232528 503.46 72.6,,f524965e4638ff38,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
14a5240af3b99c9590b01987,"Reportage_Inventory__REPORTAGE RESIDENCES (Lahore, Pakistan)__cad2d349e7.xlsx",Inventory,,,,,,,59 1206 12 1 bed a adjacent building,1206,59 1206 12 1 Bed A Adjacent Building 46.77300978269958 6.752199481600536 11.89160062802516 65.41680989232528 503.46 72.6,,7db3d3dfec252d87,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
92ea85b38767bdd0e0230ec5,Reportage_Inventory__REPORTAGE RESIDENCES Lahore Pakistan__0b8e327b3f.xlsx,Inventory,,,,,,,61 1206 12 1 bed a adjacent building,1206,61 1206 12 1 Bed A Adjacent Building 46.77300978269958 6.752199481600536 11.89160062802516 65.41680989232528 503.46 72.6,,1966ff708ae80636,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
251b1e55ba09939ae32ed781,HSHObject1__2556cb9f-0ebc-435f-b39e-31d3b5caa0ab__7f6e6a6f90.xlsx,Report,,,,,,,,4801,"1 BR Type 6 48 4801 1 739.05 68.66 1,401,978 1,317,859",,ece22ec4a40093c2,invalid_bridge,Weak,25,single clue family without trusted bridge completion
bccb071acb700a8588e8b1c6,HSHObject1__45fcbb03-9f46-4197-8505-b9f33fd29510__77f9127278.xlsx,Report,,,,,,,,1310,"2 BR Type B 13 1310 2 2,032.23 188.8 3,019,894 2,838,700",,cec527b18d20c04b,invalid_bridge,Weak,25,single clue family without trusted bridge completion
db396b54cd882d1aa1fa008b,HSHObject1__560cff45-bedb-4011-8704-774f0fa8b694__44fa2f752a.xlsx,Report,,,,,,,,2407,"1 BR Type J 2 24 2407 1 712.42 66.19 1,286,631 1,209,433",,62ac4b50733ef9e9,invalid_bridge,Weak,25,single clue family without trusted bridge completion
6c866084183d019064beb057,HSHObject1__796fbdde-e69f-4e78-86a9-2fd67eb95fe9__e498504c3f.xlsx,Report,,,,,,,,4801,"1 BR Type 6 48 4801 1 739.05 68.66 1,401,978 1,317,859",,69e7d00de65c2fa4,invalid_bridge,Weak,25,single clue family without trusted bridge completion
8b3f9f7db49f29f68ad02ef0,HSHObject1__959b678a-988e-408b-a57d-babfe21eb212__95811baa6f.xlsx,Report,,,,,,,,1310,"2 BR Type B 13 1310 2 2,032.23 188.8 3,019,894 2,838,700",,39c34e0d1a76e9fd,invalid_bridge,Weak,25,single clue family without trusted bridge completion
8804da2ee5475f5cd3394a90,HSHObject1__ab20a7e9-9ee0-4f16-910a-3e6399317a74__dda2658d56.xlsx,Report,,,,,,,,1317,"2 BR Type J 2 13 1317 2 1,263.47 117.38 1,691,786 1,590,279",,5c6ca157329ae0bb,invalid_bridge,Weak,25,single clue family without trusted bridge completion
2160dbad3d7767d03850a9ea,HSHObject1__ac274d9d-4683-43a4-b87f-76dc917c79d1__e2699bf54d.xlsx,Report,,,,,,,,2407,"1 BR Type J 2 24 2407 1 712.42 66.19 1,286,631 1,209,433",,374c2e7b585c9763,invalid_bridge,Weak,25,single clue family without trusted bridge completion
0a9f9439b9cbc6b7da4e775a,HSHObject1__c75a4a95-8a72-4b3a-bcea-32c7aac38024__b5bf281258.xlsx,Report,,,,,,,,1317,"2 BR Type J 2 13 1317 2 1,263.47 117.38 1,691,786 1,590,279",,a6bc403db285208a,invalid_bridge,Weak,25,single clue family without trusted bridge completion
3ad49e38d974791259cb1093,Reportage_Inventory__0771e967-82c4-4910-bb30-d0f17d5a7ecc__d773272a73.xlsx,Verdana 6Y TH - 25,,,,,,,10 vn01 04 3b a tower,Unit,Middle,,2e97d487d7221bf3,invalid_bridge,High-confidence,80,resolver_link + strong identifier/location evidence
24c276f6d9daa10b37a80bd7,Reportage_Inventory__3014__39097fe6b2.xlsx,NAJD 5,,,,,,,,51L,99 B 32 51L Duplex 2 BR A Amenities Single Row 107.1225 39.8475 146.97 1100000,,3501bc55b1b82807,invalid_bridge,Weak,25,single clue family without trusted bridge completion
9ab71dcf68580a2aca71fc7e,Reportage_Inventory__3014__69038f24c0.xlsx,NAJD 5,,,,,,,,51L,115 B 32 51L Duplex 2 BR A Amenities Single Row 107.1225 39.8475 146.97 1100000,,b083d7e0a09ebfe9,invalid_bridge,Weak,25,single clue family without trusted bridge completion
714b249b4bd889e8da27d60f,Reportage_Inventory__3014__6ea2d12d01.xlsx,NAJD 5,,,,,,,,51L,115 B 32 51L Duplex 2 BR A Amenities Single Row 107.1225 39.8475 146.97 1100000,,68f1012de67d4e02,invalid_bridge,Weak,25,single clue family without trusted bridge completion
9da680dea4d21b29d4b841c7,Reportage_Inventory__3014__abd925a1c4.xlsx,NAJD 5,,,,,,,,51L,115 B 32 51L Duplex 2 BR A Amenities Single Row 107.1225 39.8475 146.97 1100000,,3c9c11afeca88692,invalid_bridge,Weak,25,single clue family without trusted bridge completion
c80e7be1bc7730c27dd140a0,Reportage_Inventory__3014__ac9a52ed89.xlsx,NAJD 5,,,,,,,,51L,99 B 32 51L Duplex 2 BR A Amenities Single Row 107.1225 39.8475 146.97 1100000,,a2301a11f7ad716d,invalid_bridge,Weak,25,single clue family without trusted bridge completion
