source_platform,listing_url,listing_id,broker_reference,permit_number,property_number,plot_number,building_name,unit_number,canonical_property_id,confidence,source_updated_at,created_at,community,project_name,size_clues,price_clues,resolver_record_id,owner_contact_available,source_file,source_sheet,row_number,normalized_url,slug_clues,raw_payload_json,bridge_classification,bridge_id
,,,,,,,10 Oxford,B320,CPID-UNIT-b320,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Jumeirah Village Circle (JVC),10 Oxford,757,1240000,,NO,Active Listings.xlsx,Sale Listings,2,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""10 Oxford"", ""unit_number"": ""B320"", ""community"": ""Jumeirah Village Circle (JVC)"", ""project_name"": ""10 Oxford"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""757"", ""price_clues"": ""1240000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""2"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""2\"", \""Area (sqft)\"": \""757\"", \""Location 3\"": \""Jumeirah Village Circle (JVC)\"", \""Location 5\"": \""10 Oxford\"", \""Price (AED)\"": \""1,240,000\"", \""Unit Number\"": \""B320\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,82d7f23a7d762fee167ad6ff
,,,,,,,10 Oxford,B207,CPID-UNIT-b207,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Jumeirah Village Circle (JVC),10 Oxford,1521,2450000,,NO,Active Listings.xlsx,Sale Listings,3,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""10 Oxford"", ""unit_number"": ""B207"", ""community"": ""Jumeirah Village Circle (JVC)"", ""project_name"": ""10 Oxford"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""1521"", ""price_clues"": ""2450000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""3"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""2\"", \""Baths\"": \""3\"", \""Area (sqft)\"": \""1,521\"", \""Location 3\"": \""Jumeirah Village Circle (JVC)\"", \""Location 5\"": \""10 Oxford\"", \""Price (AED)\"": \""2,450,000\"", \""Unit Number\"": \""B207\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,972d0aafd2a6c1b2f0c170cd
,,,,,,,10 Oxford,A226,CPID-UNIT-a226,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Jumeirah Village Circle (JVC),10 Oxford,742,1225000,,NO,Active Listings.xlsx,Sale Listings,4,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""10 Oxford"", ""unit_number"": ""A226"", ""community"": ""Jumeirah Village Circle (JVC)"", ""project_name"": ""10 Oxford"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""742"", ""price_clues"": ""1225000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""4"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""2\"", \""Area (sqft)\"": \""742\"", \""Location 3\"": \""Jumeirah Village Circle (JVC)\"", \""Location 5\"": \""10 Oxford\"", \""Price (AED)\"": \""1,225,000\"", \""Unit Number\"": \""A226\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,aa0d662d91d6f598495f5ab7
,,,,,,,10 Oxford,B321,CPID-UNIT-b321,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Jumeirah Village Circle (JVC),10 Oxford,756,1225000,,NO,Active Listings.xlsx,Sale Listings,5,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""10 Oxford"", ""unit_number"": ""B321"", ""community"": ""Jumeirah Village Circle (JVC)"", ""project_name"": ""10 Oxford"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""756"", ""price_clues"": ""1225000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""5"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""2\"", \""Area (sqft)\"": \""756\"", \""Location 3\"": \""Jumeirah Village Circle (JVC)\"", \""Location 5\"": \""10 Oxford\"", \""Price (AED)\"": \""1,225,000\"", \""Unit Number\"": \""B321\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,21aa1935c57f71578d13be97
,,,,,,,10 Oxford,A532,CPID-UNIT-a532,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Jumeirah Village Circle (JVC),10 Oxford,815,1350000,,NO,Active Listings.xlsx,Sale Listings,6,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""10 Oxford"", ""unit_number"": ""A532"", ""community"": ""Jumeirah Village Circle (JVC)"", ""project_name"": ""10 Oxford"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""815"", ""price_clues"": ""1350000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""6"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""2\"", \""Area (sqft)\"": \""815\"", \""Location 3\"": \""Jumeirah Village Circle (JVC)\"", \""Location 5\"": \""10 Oxford\"", \""Price (AED)\"": \""1,350,000\"", \""Unit Number\"": \""A532\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,fac2b121cd72aebce93f00bd
,,,,,,,,1109,CPID-UNIT-1109,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Motor City,,423,976339,,NO,Active Listings.xlsx,Sale Listings,7,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": """", ""unit_number"": ""1109"", ""community"": ""Motor City"", ""project_name"": """", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""423"", ""price_clues"": ""976339"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""7"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""Studio\"", \""Baths\"": \""1\"", \""Area (sqft)\"": \""423\"", \""Location 3\"": \""Motor City\"", \""Location 5\"": \""\"", \""Price (AED)\"": \""976,339\"", \""Unit Number\"": \""1109\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,5ff8c8a87a318fd145a76bd0
,,,,,,,Sobha Orbis Tower B,B1310,CPID-UNIT-b1310,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Motor City,Sobha Orbis Tower B,545,1156000,,NO,Active Listings.xlsx,Sale Listings,8,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""Sobha Orbis Tower B"", ""unit_number"": ""B1310"", ""community"": ""Motor City"", ""project_name"": ""Sobha Orbis Tower B"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""545"", ""price_clues"": ""1156000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""8"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""2\"", \""Area (sqft)\"": \""545\"", \""Location 3\"": \""Motor City\"", \""Location 5\"": \""Sobha Orbis Tower B\"", \""Price (AED)\"": \""1,156,000\"", \""Unit Number\"": \""B1310\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,423a578505fe2e5ff822ea09
,,,,,,,Sobha Orbis Tower B,B1501,CPID-UNIT-b1501,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Motor City,Sobha Orbis Tower B,545,1126000,,NO,Active Listings.xlsx,Sale Listings,9,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""Sobha Orbis Tower B"", ""unit_number"": ""B1501"", ""community"": ""Motor City"", ""project_name"": ""Sobha Orbis Tower B"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""545"", ""price_clues"": ""1126000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""9"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""2\"", \""Area (sqft)\"": \""545\"", \""Location 3\"": \""Motor City\"", \""Location 5\"": \""Sobha Orbis Tower B\"", \""Price (AED)\"": \""1,126,000\"", \""Unit Number\"": \""B1501\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,0caf8df09b4c377cce3b64aa
,,,,,,,,515,CPID-UNIT-515,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Arjan,,811,1350000,,NO,Active Listings.xlsx,Sale Listings,10,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": """", ""unit_number"": ""515"", ""community"": ""Arjan"", ""project_name"": """", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""811"", ""price_clues"": ""1350000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""10"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""1\"", \""Baths\"": \""1\"", \""Area (sqft)\"": \""811\"", \""Location 3\"": \""Arjan\"", \""Location 5\"": \""\"", \""Price (AED)\"": \""1,350,000\"", \""Unit Number\"": \""515\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,99ed945740a56cc4ce40339e
,,,,,,,10 Oxford,B507,CPID-UNIT-b507,0,2026-06-27T02:40:13+00:00,2026-06-27T02:45:47+00:00,Jumeirah Village Circle (JVC),10 Oxford,412,850000,,NO,Active Listings.xlsx,Sale Listings,11,,,"{""source_platform"": """", ""listing_url"": """", ""listing_id"": """", ""broker_reference"": """", ""permit_number"": """", ""property_number"": """", ""plot_number"": """", ""building_name"": ""10 Oxford"", ""unit_number"": ""B507"", ""community"": ""Jumeirah Village Circle (JVC)"", ""project_name"": ""10 Oxford"", ""resolver_record_id"": """", ""canonical_property_id"": """", ""confidence"": """", ""source_updated_at"": ""2026-06-27T02:40:13+00:00"", ""created_at"": ""2026-06-27T02:45:47+00:00"", ""size_clues"": ""412"", ""price_clues"": ""850000"", ""owner_contact_available"": ""NO"", ""source_file"": ""Active Listings.xlsx"", ""source_sheet"": ""Sale Listings"", ""row_number"": ""11"", ""raw_payload_json"": ""{\""Category\"": \""Apartment\"", \""Beds\"": \""Studio\"", \""Baths\"": \""1\"", \""Area (sqft)\"": \""412\"", \""Location 3\"": \""Jumeirah Village Circle (JVC)\"", \""Location 5\"": \""10 Oxford\"", \""Price (AED)\"": \""850,000\"", \""Unit Number\"": \""B507\"", \""_sheet_name\"": \""Sale Listings\""}""}",invalid_bridge,0b3b0e6522f903b52f0d7168
