filename,file_type,source_folder,source_chat_group,size_bytes,detected_area,detected_project,focus_terms,duplicate_status,duplicate_of_or_copied_to,sha256
AIOS_ALL_PAGES_START_BUILD.txt,txt,/Users/hassanka/Downloads,,754,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/c194db2f126f__AIOS_ALL_PAGES_START_BUILD.txt,c194db2f126f1546ac074116171b4bd4c73e3dfacfe0317f67929d7c7f438d86
3aa9d3de76c92df0cf1ce3e9c2392950applications_1030_684637_transactions_Report26329992 2.pdf,pdf,/Users/hassanka/Downloads,,1443271,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/21dc6b49aee0__3aa9d3de76c92df0cf1ce3e9c2392950applications_1030_684637_transactions_Report26329992 2.pdf,21dc6b49aee0d6580e8a10d435682cca9dc53797bfde720245a95cc12a181f3e
Register of UBO (1).pdf,pdf,/Users/hassanka/Downloads,,270644,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/87988d8c93b9__Register of UBO _1_.pdf,87988d8c93b99880c8e42b0ad8634505bb2220dc2ebce60c7451a735d1b5d066
Juri Sudheimer (Emirates ID) 2 (1).pdf,pdf,/Users/hassanka/Downloads,,201380,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/7b30c283fe8e__Juri Sudheimer _Emirates ID_ 2 _1_.pdf,7b30c283fe8edb633120382a3a1ee73962347ee2a9eefa683fe8c34bd0115475
session-export-1781624671403.zip,zip,/Users/hassanka/Downloads,,11330185,,,data,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/zip/d88d221f9274__session-export-1781624671403.zip,d88d221f9274aaff9f4c47e9bcff1a3953886517854da22eaa1146b1876f5ba1
Palm_Jumeirah_Nakheel_Submission_Package_RevB_fixed.pdf,pdf,/Users/hassanka/Downloads,,12706054,Jumeirah; Palm Jumeirah,Nakheel,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/01a2320e15bd__Palm_Jumeirah_Nakheel_Submission_Package_RevB_fixed.pdf,01a2320e15bd93d921443875a22bb2c8ce04207c3293c12e7048fe14d15b1bfc
Sadaf_6_Apartment_1508_Floor_Plan.pdf,pdf,/Users/hassanka/Downloads,,150893,,Sadaf,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/daedf31c2001__Sadaf_6_Apartment_1508_Floor_Plan.pdf,daedf31c20013bb8dabc63c8da60bc9628b2d411c3b99eaafef567f7d4e4ce8c
AIOS_MASTER_HANDOFF_ULTRA_COMPACT.txt,txt,/Users/hassanka/Downloads,,198,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/33ae784fdb0c__AIOS_MASTER_HANDOFF_ULTRA_COMPACT.txt,33ae784fdb0c791e0af11d5500da13ed4a27d5f35ed3cc92fd06e2d52a9cb61c
Contract F - Plot 18- Palm Crown - New  (1).pdf,pdf,/Users/hassanka/Downloads,,327205,Palm Jumeirah,Palm Crown,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/1b285c2fc1bc__Contract F - Plot 18- Palm Crown - New  _1_.pdf,1b285c2fc1bc1377055ecac4ff394afc78a936a114959c3723f652bf46e20ab4
AIOS_ALL_CHATS_OPENER.txt,txt,/Users/hassanka/Downloads,,724,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/d08092cc7ff3__AIOS_ALL_CHATS_OPENER.txt,d08092cc7ff38a1fd15f48707e30843ee877ab8a6d2ee3b967a4f7793145fa54
session-export-1781624654680.zip,zip,/Users/hassanka/Downloads,,11330077,,,data,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/zip/68684853f0a2__session-export-1781624654680.zip,68684853f0a2208a775b867e294c7fc55667f8389813a8f1bbbbe8ad8abe3181
Tiger Sky Tower-3902TigerContract document.pdf,pdf,/Users/hassanka/Downloads,,9829631,,Tiger; Tiger Sky Tower,tiger,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/6e39724fd65d__Tiger Sky Tower-3902TigerContract document.pdf,6e39724fd65d186f78ce5dabf24c57c806c9a0486131859ce8db388a7eddf46c
PDF Binder (Plot-18) Palm Villa (Big Basement) (1).pdf,pdf,/Users/hassanka/Downloads,,19079024,Palm Jumeirah,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/faf67e8f0c01__PDF Binder _Plot-18_ Palm Villa _Big Basement_ _1_.pdf,faf67e8f0c018a3e0018bcff0420a93ddf9c423f84c976fd679be60b5f5a3177
OPENAI_MASTER_BUNDLE_WAKEUP.txt,txt,/Users/hassanka/Downloads,,165,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/f52c4d1e39e0__OPENAI_MASTER_BUNDLE_WAKEUP.txt,f52c4d1e39e05118bb29c65fdff1e6bc7ed89cdcbd02cfa0dd689b8f602e84b5
AIOS_PROJECT_SECTION_ONE_LINE.txt,txt,/Users/hassanka/Downloads,,243,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/53d3332bdab8__AIOS_PROJECT_SECTION_ONE_LINE.txt,53d3332bdab8ace3872dddde38142a61b00ec285bf3a0c0ff0f917e5643a0557
CB202606199355_V1_0620T203801_340963cc-ad43-4f4f-b828-a21d1b014efa.pdf,pdf,/Users/hassanka/Downloads,,234734,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/1bb74808bf71__CB202606199355_V1_0620T203801_340963cc-ad43-4f4f-b828-a21d1b014efa.pdf,1bb74808bf71b6724f9fc0b137ab5f8b4c62256978635f6d4ec6d0d58a51703b
PDF Binder (Plot-18) Palm Villa (Big Basement) 2 (2).pdf,pdf,/Users/hassanka/Downloads,,19079024,Palm Jumeirah,,,duplicate,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/faf67e8f0c01__PDF Binder _Plot-18_ Palm Villa _Big Basement_ _1_.pdf,faf67e8f0c018a3e0018bcff0420a93ddf9c423f84c976fd679be60b5f5a3177
AIOS_OTHER_PAGES_PASTE.txt,txt,/Users/hassanka/Downloads,,671,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/2e1df29666ed__AIOS_OTHER_PAGES_PASTE.txt,2e1df29666edcfcbcd70c318f898e304477b556ff4deb1bbc06872611139e7a6
Juri Sudheimer passport.pdf,pdf,/Users/hassanka/Downloads,,206243,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/e895698258e8__Juri Sudheimer passport.pdf,e895698258e8b6060621d98e2a2938d97949c8b5d65bd6ba2021783c85ef63ac
PJ-P-VP-018_REV02_Complete_Approval_Package.pdf,pdf,/Users/hassanka/Downloads,,301327,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/657dd90c3e11__PJ-P-VP-018_REV02_Complete_Approval_Package.pdf,657dd90c3e11807f48b9c91b64917c0f6414668e5a61da24d039c4341774fdbf
AIOS_PAGE_TITLE_AND_PASTE_BLOCK.txt,txt,/Users/hassanka/Downloads,,306,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/0077dbcf6bd3__AIOS_PAGE_TITLE_AND_PASTE_BLOCK.txt,0077dbcf6bd3b3541e40dd6e84703644eedc23a93a758a3c0e0ef997d9dcbc66
OPENAI_MASTER_BUNDLE.pdf,pdf,/Users/hassanka/Downloads,,3250,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/0c24d32a503d__OPENAI_MASTER_BUNDLE.pdf,0c24d32a503db30fb692780a23d88d9473a00b20ebc623f11a5ed4a4e6df9edb
Plot-18_PJ-P-VP-018_REV-01_Binder_Nakheel_Resubmission_1.pdf,pdf,/Users/hassanka/Downloads,,41936785,,Nakheel,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/56ac2f8e2cab__Plot-18_PJ-P-VP-018_REV-01_Binder_Nakheel_Resubmission_1.pdf,56ac2f8e2cab8499ad44a1bb9315f24ff2e2d535423a0a7ba52613334735779e
Register of Shareholders or Members.docx (1) (1).pdf,pdf,/Users/hassanka/Downloads,,354100,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/4292abe17a12__Register of Shareholders or Members.docx _1_ _1_.pdf,4292abe17a1239e23be020ae83bb133f367a6339f21ea4f521be64945d7de3c9
Juri Sudheimer passport (1).pdf,pdf,/Users/hassanka/Downloads,,206243,,,,duplicate,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/e895698258e8__Juri Sudheimer passport.pdf,e895698258e8b6060621d98e2a2938d97949c8b5d65bd6ba2021783c85ef63ac
65648a9369d31.pdf,pdf,/Users/hassanka/Downloads,,150893,,,,duplicate,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/daedf31c2001__Sadaf_6_Apartment_1508_Floor_Plan.pdf,daedf31c20013bb8dabc63c8da60bc9628b2d411c3b99eaafef567f7d4e4ce8c
cpalmd (1).pdf,pdf,/Users/hassanka/Downloads,,12618250,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/044dde6521da__cpalmd _1_.pdf,044dde6521da5389bf6b1865a8774e48abada8ecb53140b29a46c8c0f2abd11b
Tiger Sky Tower-3902TigerContract document 2.pdf,pdf,/Users/hassanka/Downloads,,9829631,,Tiger; Tiger Sky Tower,tiger,duplicate,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/6e39724fd65d__Tiger Sky Tower-3902TigerContract document.pdf,6e39724fd65d186f78ce5dabf24c57c806c9a0486131859ce8db388a7eddf46c
Juri Sudheimer (Emirates ID) 2.pdf,pdf,/Users/hassanka/Downloads,,201380,,,,duplicate,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/7b30c283fe8e__Juri Sudheimer _Emirates ID_ 2 _1_.pdf,7b30c283fe8edb633120382a3a1ee73962347ee2a9eefa683fe8c34bd0115475
the one.pdf,pdf,/Users/hassanka/Downloads,,14894225,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/79188dfc2158__the one.pdf,79188dfc2158e727e2731405d5a026ccac9eabe9b0eaad669f8026289929c55f
~$zabr Hassan Agemment_Addendum_signed.pdf,pdf,/Users/hassanka/Downloads,,162,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/03a7c93cc542___zabr Hassan Agemment_Addendum_signed.pdf,03a7c93cc542142723ac30ca1fbc2eaf952fb66b4c4a4a446f9f343352e5436b
vvvvv.pdf,pdf,/Users/hassanka/Downloads,,12750975,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/6d59e9234961__vvvvv.pdf,6d59e923496198bfc1bd3e9f3a87ae6c90d00e09386c3a73a91aebd80c4a740d
Nakheel Online Service (2).pdf,pdf,/Users/hassanka/Downloads,,65878,,Nakheel,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/0ef7202c4367__Nakheel Online Service _2_.pdf,0ef7202c4367818d0ab6e212e82b675de9543a9aa83d21d9df2e157e3678cb11
OPENAI_MASTER_BRAIN_COMPACT.txt,txt,/Users/hassanka/Downloads,,1017,,,data; database; dubai,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/txt/66f7c00c0a69__OPENAI_MASTER_BRAIN_COMPACT.txt,66f7c00c0a691f98cdb7aea352543ad99b9299abf06e9fdb1afebfba4d4bb883
Title Deed.pdf,pdf,/Users/hassanka/Downloads,,282628,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/707f8f3c6814__Title Deed.pdf,707f8f3c6814c097fe0f6ece88c41f2ccc56bf0673c6b23e7ba40f87d664eb73
Title Deed PJ-P-VP-018.pdf,pdf,/Users/hassanka/Downloads,,282618,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/db9384cd1cb8__Title Deed PJ-P-VP-018.pdf,db9384cd1cb80c4c0731846a34fc7c442b2c472379bba527e580365f869ee9b0
INC Memorandum of Association - signed (1).pdf,pdf,/Users/hassanka/Downloads,,560061,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/0ca825715f1a__INC Memorandum of Association - signed _1_.pdf,0ca825715f1ad8382ae62c39bfc92808342d3a626c19e112c5150dbb71866143
Register of Shareholders or Members.docx (1).pdf,pdf,/Users/hassanka/Downloads,,354100,,,,duplicate,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/4292abe17a12__Register of Shareholders or Members.docx _1_ _1_.pdf,4292abe17a1239e23be020ae83bb133f367a6339f21ea4f521be64945d7de3c9
PROFORMA_INVOICE_P-16965.pdf,pdf,/Users/hassanka/Downloads,,134149,,,,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/pdf/bfc5c40e1df6__PROFORMA_INVOICE_P-16965.pdf,bfc5c40e1df6cad979a2487c2580a9ef4504c5802a1ea5caed81545aa3cf7810
JVC.xlsx,xlsx,/Users/hassanka/Downloads,,16647555,Abu Dhabi; Ajman; Dubai Marina; JVC; Jumeirah; Jumeirah Village; Ras Al Khaimah; Sharjah,Binghatti; Damac; Danube; Ellington; Oxford Terraces; Sadaf; Sobha; Tiger,abu dhabi; binghatti; commercial; data; database; dubai; hsh; tiger,unique,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/xlsx/c4f26d9e7e0c__JVC.xlsx,c4f26d9e7e0ce8ffaf1a2dacb71c4c41ec3e50e3debf71a12a6dad85bea29404
