source,url,parsed_listing_id,parsed_area,parsed_project,parsed_building,direct_listing_rows,permit_values,property_values,plot_values,land_values,permit_unit_hits,property_unit_hits,plot_unit_hits,land_unit_hits,same_area_building_unit_hits,same_area_project_unit_hits,same_chat_group_unit_hits,classification,best_bridge_type,evidence_note
propertyfinder,https://www.propertyfinder.ae/go/QET3ZXC09BEVH6F1EQPKQHSAH4/en.,4,,,,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-damac-maison-prive-damac-maison-prive-a-79419142.html,79419142,Business Bay,,damac maison prive,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-studio-city-samana-golf-avenue-73864626.html,73864626,,,samana golf avenue,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-hadaeq-sheikh-mohammed-bin-rashid-79392661.html,79392661,MBR City,,sheikh,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://propertyfinder.ae/go/FC8X62V5XNRD3Q4G09CTTC4BX8,FC8X62V5XNRD3Q4G09CTTC4BX8,,,,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-difc-sky-gardens-76131379.html,76131379,,,difc sky gardens,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-samana-park-views-90924720.html,90924720,Arjan,,samana park views,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-avelon-boulevard-2Q6qKEu4nNA.html,2Q6qKEu4nNA,Arjan,,avelon boulevard,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://propertyfinder.ae/go/TW79X6XD0BPAZVG539PTQEAZG8,TW79X6XD0BPAZVG539PTQEAZG8,,,,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://propertyfinder.ae/go/QET3ZXC09BEVH6F1EQPKQHSAH4,QET3ZXC09BEVH6F1EQPKQHSAH4,,,,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://propertyfinder.ae/go/XKQP75WJX46Y89V2MA8Q511V7W,XKQP75WJX46Y89V2MA8Q511V7W,,,,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-dubai-al-barsha-al-barsha-1-atria-square-16137246.html#,16137246,,,barsha atria,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://propertyfinder.ae/go/0E5H9EYAV0FPK9MEP2J3JVE6Y0,0E5H9EYAV0FPK9MEP2J3JVE6Y0,,,,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-business-bay-tiger-sky-tower-15901205.html,15901205,Business Bay,Tiger,tiger sky,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-the-valley-elora-77375638.html,77375638,,,valley elora,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-the-valley-orania-77387398.html,77387398,,,valley orania,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-meydan-meydan-one-azizi-riviera-azizi-riviera-21-2Q0CjhnMyzA.html,2Q0CjhnMyzA,Meydan,,azizi riviera azizi riviera,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-meydan-meydan-one-azizi-riviera-azizi-riviera-9-2Q9s9R1ttvU.html,2Q9s9R1ttvU,Meydan,,azizi riviera azizi riviera,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
propertyfinder,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-meydan-meydan-one-azizi-riviera-azizi-riviera-36-2Q4z4QnFMzA.html,2Q4z4QnFMzA,Meydan,,azizi riviera azizi riviera,1,,,,,0,0,0,0,0,0,0,no local bridge,listing_row_only,direct_listing_rows=1
