test_label,rank,resolver_record_id,area,project,building,unit,bedrooms,size,price,permit_number,property_number,plot_number,land_number,source_file,source_sheet,row_number,source_platform,listing_url,score,score_breakdown,confidence,status_label,owner_contact_available,input,parsed_platform,parsed_listing_id,parsed_area,parsed_project,parsed_building,parsed_bedrooms,parsed_size,parsed_price
ocean_heights,1,raw-e6d971645320b9b2,Dubai Marina,,ocean heights,,2,148.64 sqm,3000000.0,,,,,raw_chat_style_dataset,,466,,,80,"[""same_area:+10"", ""same_building:+20"", ""same_area_and_building_strong:+35"", ""same_property_type:+5"", ""text_overlap_50:+10""]",LIKELY_MATCH,LIKELY_MATCH,NO,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-marina-ocean-heights-84894360.html,propertyfinder.ae,84894360,Dubai Marina,,ocean heights,,,
url_1,1,7f9f69f79ea5c7e8,,,preview contenthash renderstate,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/preview?contentHash=BNR9WTCXZ9DJ7J4GC6MB8A6H14&renderState=2,65,"[""listing_url_match:+40"", ""building_token_overlap:+12"", ""text_overlap_50:+10"", ""same_platform:+3""]",PARTIAL,PARTIAL,NO,https://www.propertyfinder.ae/en/plp/preview?contentHash=BNR9WTCXZ9DJ7J4GC6MB8A6H14&renderState=2,propertyfinder.ae,2,,,preview,,,
url_2,1,7f9f69f79ea5c7e8,Business Bay,,damac maison prive,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-damac-maison-prive-damac-maison-prive-a-79419142.html,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""same_area:+10"", ""same_building:+20"", ""same_area_and_building_strong:+35"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-damac-maison-prive-damac-maison-prive-a-79419142.html,propertyfinder.ae,79419142,Business Bay,,damac maison prive,,,
url_2,2,7f9f69f79ea5c7e8,Business Bay,,damac maison prive,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-damac-maison-prive-damac-maison-prive-a-78981182.html,83,"[""same_area:+10"", ""same_building:+20"", ""same_area_and_building_strong:+35"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",LIKELY_MATCH,LIKELY_MATCH,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-damac-maison-prive-damac-maison-prive-a-79419142.html,propertyfinder.ae,79419142,Business Bay,,damac maison prive,,,
url_3,1,7f9f69f79ea5c7e8,,,samana golf avenue,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-studio-city-samana-golf-avenue-73864626.html,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""same_building:+20"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-studio-city-samana-golf-avenue-73864626.html,propertyfinder.ae,73864626,,,samana golf avenue,,,
url_4,1,7f9f69f79ea5c7e8,MBR City,,sheikh,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-hadaeq-sheikh-mohammed-bin-rashid-79392661.html,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""same_area:+10"", ""same_building:+20"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-hadaeq-sheikh-mohammed-bin-rashid-79392661.html,propertyfinder.ae,79392661,MBR City,,sheikh,,,
url_5,1,7f9f69f79ea5c7e8,,,difc sky gardens difc sky gardens,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-difc-sky-gardens-76131379.html,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""building_token_overlap:+12"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-difc-sky-gardens-76131379.html,propertyfinder.ae,76131379,,,difc sky gardens,,,
url_6,1,7f9f69f79ea5c7e8,Arjan,,samana park views samana park views,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-samana-park-views-90924720.html,100,"[""listing_id_exact:+40"", ""listing_url_match:+40"", ""same_area:+10"", ""building_token_overlap:+12"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",RESOLVED,RESOLVED,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-samana-park-views-90924720.html,propertyfinder.ae,90924720,Arjan,,samana park views,,,
url_6,2,7f9f69f79ea5c7e8,Arjan,,samana park views samana park views,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-samana-park-views-79860347.html,40,"[""same_area:+10"", ""building_token_overlap:+12"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",UNRESOLVED,UNRESOLVED,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-samana-park-views-90924720.html,propertyfinder.ae,90924720,Arjan,,samana park views,,,
url_7,1,7f9f69f79ea5c7e8,Arjan,,avelon boulevard avelon boulevard,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-avelon-boulevard-2Q6qKEu4nNA.html,80,"[""listing_url_match:+40"", ""same_area:+10"", ""building_token_overlap:+12"", ""same_property_type:+5"", ""text_high:+10"", ""same_platform:+3""]",LIKELY_MATCH,LIKELY_MATCH,NO,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-arjan-avelon-boulevard-2Q6qKEu4nNA.html,propertyfinder.ae,2Q6qKEu4nNA,Arjan,,avelon boulevard,,,
