cluster_id,classification,canonical_area,canonical_building_project,possible_unit_number,bedrooms,size_range_sqm,price_range,source_platforms,source_files,record_count,confidence,owner_contact_available,restricted_owner_contact_link
cluster_00001,SAME_UNIT_EXACT,Ras Al Khaimah,t 5308 tariq barakat apartment 1905,1905,,,,,Data_Uae_Pak_Last__Property`s Type__39eae9c864.xlsx,1,95,YES,8bc06e450961d271
cluster_00002,SAME_UNIT_EXACT,Ras Al Khaimah,t 5331 mohamed mubarak,603,,,,,Data_Uae_Pak_Last__Property`s Type__39eae9c864.xlsx,1,95,YES,d251c76a50a478c2
cluster_00003,SAME_UNIT_EXACT,JVC,Catch Residences By IGO,1139,,61.31-83.98,,,JVC.xlsx,16,95,YES,4ba9da4197746a05|76f159d9b9a3825b|7a8e68b368f3d731|8da41c3df1721477|a57bfa2c445ade43|d22ac173ba395a5b|f216586308777a91|f84ae10922686667
cluster_00004,SAME_UNIT_EXACT,JVC,THE ONE,393,,30.06-30.06,,,JVC.xlsx,3,95,YES,76f159d9b9a3825b
cluster_00005,SAME_UNIT_EXACT,JVC,99 3212,393,,65.99-65.99,,,JVC.xlsx,3,95,YES,33d4d5ac0a911870|67bc1479d41a6d88
cluster_00006,SAME_UNIT_EXACT,JVC,76 3409,393,,62.76-62.76,,,JVC.xlsx,3,95,YES,33d4d5ac0a911870|6f2fa97b9eeb1d51
cluster_00007,SAME_UNIT_EXACT,JVC,06 2811,393,,30.06-30.06,,,JVC.xlsx,3,95,YES,76f159d9b9a3825b
cluster_00008,SAME_UNIT_EXACT,JVC,Sapphire 32 by Dar Alkarama,1984,,36.96-72.40,,,JVC.xlsx,6,95,YES,012934c2cb6eaffd|64f0c9527b974aa2|76f159d9b9a3825b|b3ca8a86b13128be
cluster_00009,SAME_UNIT_EXACT,JVC,56 2604,1984,,192.56-192.56,,,JVC.xlsx,2,95,YES,76f159d9b9a3825b|b3ca8a86b13128be
cluster_00010,SAME_UNIT_EXACT,JVC,22 1208,1984,,36.22-36.22,,,JVC.xlsx,2,95,YES,485590cd20f2322b
